t,p
2026-01-28 17:10:29,0.53
2026-01-28 17:20:14,0.52
2026-01-28 17:30:15,0.53
2026-01-28 17:40:14,0.52
2026-01-28 17:50:13,0.52
2026-01-28 18:00:25,0.54
2026-01-28 18:10:14,0.54
2026-01-28 18:20:14,0.54
2026-01-28 18:30:17,0.54
2026-01-28 18:40:14,0.56
2026-01-28 18:50:13,0.56
2026-01-28 19:00:16,0.56
2026-01-28 19:10:14,0.56
2026-01-28 19:20:13,0.56
2026-01-28 19:30:15,0.56
2026-01-28 19:40:13,0.56
2026-01-28 19:50:16,0.56
2026-01-28 20:00:18,0.56
2026-01-28 20:10:13,0.56
2026-01-28 20:20:13,0.56
2026-01-28 20:30:15,0.56
2026-01-28 20:40:13,0.56
2026-01-28 20:50:15,0.56
2026-01-28 21:00:16,0.56
2026-01-28 21:10:13,0.56
2026-01-28 21:20:15,0.56
2026-01-28 21:30:15,0.56
2026-01-28 21:40:14,0.56
2026-01-28 21:50:14,0.56
2026-01-28 22:00:16,0.56
2026-01-28 22:10:14,0.56
2026-01-28 22:20:15,0.56
2026-01-28 22:30:17,0.56
2026-01-28 22:40:14,0.56
2026-01-28 22:50:16,0.56
2026-01-28 23:00:16,0.56
2026-01-28 23:10:15,0.56
2026-01-28 23:20:13,0.56
2026-01-28 23:30:16,0.56
2026-01-28 23:40:15,0.58
2026-01-28 23:50:15,0.58
2026-01-29 00:00:34,0.57
2026-01-29 00:10:13,0.57
2026-01-29 00:20:13,0.57
2026-01-29 00:30:16,0.57
2026-01-29 00:40:14,0.57
2026-01-29 00:50:15,0.57
2026-01-29 01:00:16,0.57
2026-01-29 01:10:14,0.57
2026-01-29 01:20:15,0.57
2026-01-29 01:30:16,0.57
2026-01-29 01:40:14,0.57
2026-01-29 01:50:13,0.57
2026-01-29 02:00:16,0.57
2026-01-29 02:10:14,0.57
2026-01-29 02:20:14,0.57
2026-01-29 02:30:17,0.57
2026-01-29 02:40:14,0.57
2026-01-29 02:50:15,0.57
2026-01-29 03:00:19,0.57
2026-01-29 03:10:15,0.57
2026-01-29 03:20:14,0.57
2026-01-29 03:30:15,0.57
2026-01-29 03:40:15,0.57
2026-01-29 03:50:15,0.57
2026-01-29 04:00:17,0.57
2026-01-29 04:10:16,0.57
2026-01-29 04:20:15,0.57
2026-01-29 04:30:16,0.57
2026-01-29 04:40:15,0.57
2026-01-29 04:50:15,0.57
2026-01-29 05:00:16,0.57
2026-01-29 05:10:14,0.57
2026-01-29 05:20:14,0.57
2026-01-29 05:30:16,0.57
2026-01-29 05:40:14,0.57
2026-01-29 05:50:13,0.57
2026-01-29 06:00:16,0.57
2026-01-29 06:10:15,0.57
2026-01-29 06:20:14,0.57
2026-01-29 06:30:16,0.57
2026-01-29 06:40:15,0.57
2026-01-29 06:50:14,0.57
2026-01-29 07:00:17,0.57
2026-01-29 07:10:14,0.57
2026-01-29 07:20:14,0.57
2026-01-29 07:30:24,0.57
2026-01-29 07:40:18,0.57
2026-01-29 07:50:15,0.57
2026-01-29 08:00:16,0.58
2026-01-29 08:10:14,0.57
2026-01-29 08:20:13,0.57
2026-01-29 08:30:17,0.57
2026-01-29 08:40:23,0.57
2026-01-29 08:50:15,0.57
2026-01-29 09:00:18,0.57
2026-01-29 09:10:15,0.58
2026-01-29 09:20:15,0.58
2026-01-29 09:30:16,0.58
2026-01-29 09:40:14,0.58
2026-01-29 09:50:14,0.58
2026-01-29 10:00:18,0.58
2026-01-29 10:10:15,0.58
2026-01-29 10:20:15,0.58
2026-01-29 10:30:16,0.58
2026-01-29 10:40:14,0.58
2026-01-29 10:50:16,0.58
2026-01-29 11:00:17,0.59
2026-01-29 11:10:14,0.58
2026-01-29 11:20:14,0.58
2026-01-29 11:30:15,0.58
2026-01-29 11:40:16,0.58
2026-01-29 11:50:15,0.58
2026-01-29 12:00:22,0.58
2026-01-29 12:10:15,0.58
2026-01-29 12:20:14,0.58
2026-01-29 12:30:16,0.58
2026-01-29 12:40:15,0.58
2026-01-29 12:50:16,0.58
2026-01-29 13:00:16,0.58
2026-01-29 13:10:14,0.58
2026-01-29 13:20:16,0.58
