t,p
2026-01-29 03:40:17,0.49
2026-01-29 03:50:17,0.5
2026-01-29 04:00:20,0.5
2026-01-29 04:10:18,0.5
2026-01-29 04:20:17,0.5
2026-01-29 04:30:20,0.5
2026-01-29 04:40:17,0.5
2026-01-29 04:50:17,0.5
2026-01-29 05:00:19,0.5
2026-01-29 05:10:16,0.49
2026-01-29 05:20:16,0.49
2026-01-29 05:30:20,0.49
2026-01-29 05:40:16,0.49
2026-01-29 05:50:15,0.49
2026-01-29 06:00:21,0.49
2026-01-29 06:10:17,0.49
2026-01-29 06:20:16,0.49
2026-01-29 06:30:19,0.5
2026-01-29 06:40:18,0.5
2026-01-29 06:50:16,0.5
2026-01-29 07:00:21,0.5
2026-01-29 07:10:16,0.5
2026-01-29 07:20:16,0.5
2026-01-29 07:30:35,0.5
2026-01-29 07:40:24,0.5
2026-01-29 07:50:19,0.5
2026-01-29 08:00:20,0.5
2026-01-29 08:10:16,0.5
2026-01-29 08:20:15,0.5
2026-01-29 08:30:22,0.5
2026-01-29 08:40:34,0.5
2026-01-29 08:50:17,0.51
2026-01-29 09:00:23,0.51
2026-01-29 09:10:18,0.51
2026-01-29 09:20:17,0.51
2026-01-29 09:30:20,0.51
2026-01-29 09:40:16,0.51
2026-01-29 09:50:16,0.51
2026-01-29 10:00:23,0.51
2026-01-29 10:10:17,0.51
2026-01-29 10:20:17,0.51
2026-01-29 10:30:20,0.51
2026-01-29 10:40:16,0.51
2026-01-29 10:50:19,0.51
2026-01-29 11:00:21,0.51
2026-01-29 11:10:16,0.5
2026-01-29 11:20:16,0.5
2026-01-29 11:30:19,0.5
2026-01-29 11:40:19,0.5
2026-01-29 11:50:17,0.5
2026-01-29 12:00:29,0.5
2026-01-29 12:10:17,0.5
2026-01-29 12:20:16,0.5
2026-01-29 12:30:19,0.5
2026-01-29 12:40:17,0.5
2026-01-29 12:50:19,0.5
2026-01-29 13:00:20,0.5
2026-01-29 13:10:16,0.5
2026-01-29 13:20:19,0.5
2026-01-29 13:30:20,0.5
2026-01-29 13:40:16,0.5
2026-01-29 13:50:16,0.5
2026-01-29 14:00:20,0.5
2026-01-29 14:10:36,0.5
2026-01-29 14:20:18,0.5
2026-01-29 14:30:20,0.5
2026-01-29 14:40:21,0.5
2026-01-29 14:50:17,0.5
2026-01-29 15:00:22,0.5
2026-01-29 15:10:17,0.5
2026-01-29 15:30:22,0.5
2026-01-29 15:40:17,0.5
2026-01-29 16:00:20,0.5
2026-01-29 16:10:17,0.5
2026-01-29 16:20:37,0.5
2026-01-29 16:30:20,0.5
2026-01-29 16:40:17,0.5
2026-01-29 16:50:20,0.5
2026-01-29 17:00:20,0.5
2026-01-29 17:10:17,0.5
2026-01-29 17:20:17,0.5
2026-01-29 17:30:31,0.5
2026-01-29 17:40:17,0.5
2026-01-29 17:50:17,0.5
2026-01-29 18:00:22,0.5
2026-01-29 18:10:17,0.5
2026-01-29 18:20:17,0.5
2026-01-29 18:30:21,0.5
2026-01-29 18:40:36,0.5
2026-01-29 18:50:18,0.5
2026-01-29 19:00:21,0.5
2026-01-29 19:10:21,0.5
2026-01-29 19:20:31,0.5
2026-01-29 19:30:21,0.5
2026-01-29 19:40:20,0.5
2026-01-29 19:50:17,0.5
2026-01-29 20:00:31,0.5
2026-01-29 20:10:16,0.5
2026-01-29 20:20:19,0.5
2026-01-29 20:30:24,0.5
2026-01-29 20:40:17,0.5
2026-01-29 20:50:20,0.5
2026-01-29 21:00:24,0.5
2026-01-29 21:10:17,0.5
2026-01-29 21:20:16,0.5
2026-01-29 21:30:22,0.5
2026-01-29 21:40:21,0.5
2026-01-29 21:50:34,0.5
2026-01-29 22:00:21,0.5
2026-01-29 22:10:17,0.5
2026-01-29 22:20:17,0.5
2026-01-29 22:30:24,0.5
2026-01-29 22:40:16,0.5
2026-01-29 22:50:16,0.5
2026-01-29 23:00:21,0.5
2026-01-29 23:10:17,0.5
2026-01-29 23:20:36,0.5
2026-01-29 23:30:27,0.5
2026-01-29 23:40:19,0.5
2026-01-29 23:50:20,0.5
2026-01-30 00:00:28,0.5
2026-01-30 00:10:16,0.5
2026-01-30 00:20:28,0.5
2026-01-30 00:30:20,0.5
2026-01-30 00:40:30,0.5
2026-01-30 00:50:16,0.5
2026-01-30 01:00:20,0.5
2026-01-30 01:10:20,0.5
2026-01-30 01:20:17,0.5
2026-01-30 01:30:20,0.5
2026-01-30 01:40:21,0.5
2026-01-30 01:50:22,0.5
2026-01-30 02:00:21,0.5
2026-01-30 02:10:17,0.5
2026-01-30 02:20:17,0.5
2026-01-30 02:30:21,0.5
2026-01-30 02:40:34,0.5
2026-01-30 02:50:17,0.5
2026-01-30 03:00:23,0.5
2026-01-30 03:10:17,0.5
2026-01-30 03:20:18,0.5
2026-01-30 03:30:23,0.5
2026-01-30 03:40:19,0.5
2026-01-30 03:50:17,0.5
2026-01-30 04:00:21,0.5
2026-01-30 04:10:17,0.5
2026-01-30 04:20:17,0.5
2026-01-30 04:30:24,0.5
2026-01-30 04:40:17,0.59
2026-01-30 04:50:17,0.62
2026-01-30 05:00:21,0.66
2026-01-30 05:10:17,0.66
2026-01-30 05:20:15,0.68
2026-01-30 05:30:21,0.68
2026-01-30 05:40:16,0.68
2026-01-30 05:50:20,0.7
2026-01-30 06:00:22,0.69
2026-01-30 06:10:16,0.7
2026-01-30 06:20:16,0.7
2026-01-30 06:30:24,0.7
2026-01-30 06:40:16,0.7
2026-01-30 06:50:16,0.72
2026-01-30 07:00:20,0.75
2026-01-30 07:10:16,0.75
2026-01-30 07:20:16,0.75
2026-01-30 07:30:24,0.75
2026-01-30 07:40:20,0.75
2026-01-30 07:50:21,0.75
