t,p
2026-01-29 13:20:19,0.5
2026-01-29 13:30:19,0.5
2026-01-29 13:40:16,0.5
2026-01-29 13:50:16,0.5
2026-01-29 14:00:20,0.5
2026-01-29 14:10:35,0.5
2026-01-29 14:20:17,0.5
2026-01-29 14:30:20,0.5
2026-01-29 14:40:20,0.5
2026-01-29 14:50:17,0.5
2026-01-29 15:00:21,0.5
2026-01-29 15:10:17,0.5
2026-01-29 15:30:22,0.5
2026-01-29 15:40:16,0.5
2026-01-29 16:00:19,0.5
2026-01-29 16:10:17,0.57
2026-01-29 16:20:35,0.57
2026-01-29 16:30:20,0.57
2026-01-29 16:40:17,0.57
2026-01-29 16:50:19,0.57
2026-01-29 17:00:20,0.57
2026-01-29 17:10:17,0.57
2026-01-29 17:20:17,0.57
2026-01-29 17:30:31,0.57
2026-01-29 17:40:17,0.57
2026-01-29 17:50:16,0.57
2026-01-29 18:00:22,0.57
2026-01-29 18:10:17,0.57
2026-01-29 18:20:17,0.57
2026-01-29 18:30:20,0.57
2026-01-29 18:40:35,0.57
2026-01-29 18:50:18,0.57
2026-01-29 19:00:20,0.57
2026-01-29 19:10:20,0.57
2026-01-29 19:20:30,0.57
2026-01-29 19:30:20,0.57
2026-01-29 19:40:20,0.57
2026-01-29 19:50:16,0.57
2026-01-29 20:00:31,0.57
2026-01-29 20:10:16,0.57
2026-01-29 20:20:18,0.57
2026-01-29 20:30:23,0.57
2026-01-29 20:40:17,0.57
2026-01-29 20:50:19,0.57
2026-01-29 21:00:23,0.5
2026-01-29 21:10:17,0.5
2026-01-29 21:20:16,0.7
2026-01-29 21:30:21,0.7
2026-01-29 21:40:21,0.7
2026-01-29 21:50:34,0.7
2026-01-29 22:00:21,0.7
2026-01-29 22:10:17,0.7
2026-01-29 22:20:17,0.7
2026-01-29 22:30:24,0.7
2026-01-29 22:40:16,0.7
2026-01-29 22:50:16,0.5
2026-01-29 23:00:20,0.5
2026-01-29 23:10:17,0.5
2026-01-29 23:20:35,0.5
2026-01-29 23:30:27,0.5
2026-01-29 23:40:19,0.5
2026-01-29 23:50:20,0.5
2026-01-30 00:00:27,0.5
2026-01-30 00:10:16,0.5
2026-01-30 00:20:28,0.5
2026-01-30 00:30:20,0.5
2026-01-30 00:40:29,0.5
2026-01-30 00:50:16,0.5
2026-01-30 01:00:20,0.5
2026-01-30 01:10:20,0.5
2026-01-30 01:20:17,0.5
2026-01-30 01:30:20,0.5
2026-01-30 01:40:21,0.5
2026-01-30 01:50:21,0.5
2026-01-30 02:00:21,0.5
2026-01-30 02:10:16,0.5
2026-01-30 02:20:17,0.5
2026-01-30 02:30:21,0.5
2026-01-30 02:40:33,0.5
2026-01-30 02:50:17,0.5
2026-01-30 03:00:22,0.5
2026-01-30 03:10:17,0.5
2026-01-30 03:20:17,0.5
2026-01-30 03:30:23,0.5
2026-01-30 03:40:19,0.5
2026-01-30 03:50:17,0.5
2026-01-30 04:00:21,0.5
2026-01-30 04:10:17,0.5
2026-01-30 04:20:17,0.5
2026-01-30 04:30:23,0.5
2026-01-30 04:40:16,0.5
2026-01-30 04:50:17,0.5
2026-01-30 05:00:20,0.5
2026-01-30 05:10:17,0.5
2026-01-30 05:20:15,0.5
2026-01-30 05:30:20,0.5
2026-01-30 05:40:16,0.5
2026-01-30 05:50:19,0.5
2026-01-30 06:00:21,0.5
2026-01-30 06:10:16,0.5
2026-01-30 06:20:16,0.5
2026-01-30 06:30:23,0.5
2026-01-30 06:40:16,0.5
2026-01-30 06:50:16,0.5
2026-01-30 07:00:20,0.5
2026-01-30 07:10:16,0.5
2026-01-30 07:20:16,0.5
2026-01-30 07:30:23,0.5
2026-01-30 07:40:19,0.5
2026-01-30 07:50:21,0.5
2026-01-30 08:00:20,0.5
2026-01-30 08:10:16,0.5
2026-01-30 08:20:16,0.5
2026-01-30 08:30:19,0.5
2026-01-30 08:40:19,0.5
2026-01-30 08:50:16,0.5
2026-01-30 09:00:41,0.5
2026-01-30 09:10:16,0.5
2026-01-30 09:20:16,0.5
2026-01-30 09:30:22,0.5
2026-01-30 09:40:16,0.5
2026-01-30 09:50:19,0.5
2026-01-30 10:00:20,0.5
2026-01-30 10:10:15,0.5
2026-01-30 10:20:16,0.5
2026-01-30 10:30:21,0.21
2026-01-30 10:40:16,0.21
2026-01-30 10:50:15,0.21
2026-01-30 11:00:38,0.21
2026-01-30 11:10:16,0.22
2026-01-30 11:20:18,0.23
2026-01-30 11:30:20,0.24
2026-01-30 11:40:21,0.27
2026-01-30 11:50:17,0.26
2026-01-30 12:00:41,0.3
2026-01-30 12:10:16,0.3
2026-01-30 12:20:16,0.28
2026-01-30 12:30:23,0.27
2026-01-30 12:40:18,0.28
2026-01-30 12:50:16,0.28
2026-01-30 13:00:20,0.27
2026-01-30 13:10:16,0.28
2026-01-30 13:20:19,0.28
2026-01-30 13:30:21,0.26
2026-01-30 13:40:20,0.26
2026-01-30 13:50:17,0.27
2026-01-30 14:00:21,0.26
2026-01-30 14:10:16,0.27
2026-01-30 14:20:16,0.27
2026-01-30 14:30:24,0.3
2026-01-30 14:40:17,0.36
2026-01-30 14:50:15,0.25
2026-01-30 15:00:24,0.2
2026-01-30 15:10:16,0.31
2026-01-30 15:20:18,0.26
2026-01-30 15:30:21,0.16
2026-01-30 15:40:16,0.18
2026-01-30 15:50:17,0.18
2026-01-30 16:00:22,0.1
2026-01-30 16:10:35,0.04
2026-01-30 16:20:17,0.04
2026-01-30 16:30:20,0.02
2026-01-30 16:40:19,0.02
2026-01-30 16:50:17,0.02
2026-01-30 17:00:24,0.02
2026-01-30 17:10:16,0.02
2026-01-30 17:20:18,0.02
2026-01-30 17:30:21,0.02
2026-01-30 17:40:18,0.02
2026-01-30 17:50:47,0.02
2026-01-30 18:00:22,0.02
2026-01-30 18:10:17,0.02
2026-01-30 18:20:19,0.02
2026-01-30 18:30:23,0.02
2026-01-30 18:40:19,0.02
2026-01-30 18:50:18,0.02
2026-01-30 19:00:21,0.02
2026-01-30 19:10:24,0.02
2026-01-30 19:20:16,0.02
2026-01-30 19:30:20,0.02
2026-01-30 19:40:22,0.02
2026-01-30 19:50:19,0.02
2026-01-30 20:00:22,0.02
2026-01-30 20:10:20,0.02
2026-01-30 20:20:16,0.02
2026-01-30 20:30:20,0.02
2026-01-30 20:40:19,0.02
2026-01-30 20:50:17,0.02
2026-01-30 21:00:24,0.02
2026-01-30 21:10:17,0.02
2026-01-30 21:20:16,0.02
2026-01-30 21:30:24,0.02
2026-01-30 21:40:18,0.02
2026-01-30 21:50:16,0.02
2026-01-30 22:00:25,0.02
2026-01-30 22:10:31,0.02
2026-01-30 22:20:16,0.02
2026-01-30 22:30:22,0.02
2026-01-30 22:40:16,0.02
2026-01-30 22:50:16,0.02
2026-01-30 23:00:20,0.02
2026-01-30 23:10:18,0.01
2026-01-30 23:20:20,0.01
2026-01-30 23:30:21,0.01
2026-01-30 23:30:21,0.01
